0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180
Navn;FoodId;Svind;Energi, kJ;Energi, kcal;Proteinomregningsfaktor(NCF);total-N;Protein, total;Protein, deklaration;Kulhydrat best. v/diff.;Kulhydrat, tilgængelig;kulhydrat, deklaration;Tilsat sukker;Kostfibre;Fedt, total;Fedtsyrekonverteringsfaktor (FCF);Alkohol;Aske;Tørstof;Vand;A-vitamin;Retinol;ß-caroten;D-vitamin;D3 cholecalciferol;25-hydroxycholecalciferol;E-vitamin;alfa-tokoferol;gamma-tokoferol;delta-tokoferol;alfa-tokotrienol;K1-vitamin;B1-vitamin;thiamin;HET, hydroxyethylthiazole;B2-vitamin, riboflavin;Niacin;niacin2;B6-vitamin;Pantothensyre;Biotin;Folat;Frit folat;B12-vitamin;C-vitamin;L-ascorbinsyre;L-dehydroascorbinsyre;Chlorid, Cl;Natrium, Na;Kalium, K;Calcium, Ca;Magnesium, Mg;Phosphor, P;Jern, Fe;Kobber, Cu;Zink, Zn;Jod, I;Mangan, Mn;Chrom, Cr;Selen, Se;Molybdæn, Mo;Cobolt, Co;Nikkel, Ni;Kviksølv, Hg;Arsen, As;Cadmium, Cd;Bly, Pb;Tin, Sn;L-mælkesyre;D-mælkesyre;Mælkesyre, total;Citronsyre;Oxalsyre;Æblesyre;Eddikesyre;Benzoesyre;Organiske syrer, tot.;Histamin;Tyramin;Phenylethylamin;Putrescin;Cadaverin;Spermin;Spermidin;Serotonin;Fructose;Galaktose;Glucose;Monosaccharider, total;Lactose;Maltose;Saccharose;Disaccharider, total;Raffinose;Andre sukkerarter;Sukkerarter, ialt;Sorbitol;Mannitol;Inositol;Maltitol;Sukkeralkoholer, total;Stivelse;(a)Hexoses;(b)Pentoses;(c)UronicAcids;Cellulose;Lignin;Crude fibre;Neutr.Det.Fibre (NDF);C4:0;C6:0;C8:0;C10:0;C12:0;C14:0;C15:0;C16:0;C17:0;C18:0;C20:0;C22:0;C24:0;Andre mætt.;C14:1,n-5;C15:1;C16:1,n-7;C16:1,trans;C17:1,n-7;C18:1,n-9;C18:1,n-7;C18:1,trans n-9;C20:1,n-9;C20:1,n-11;C20:1,trans;C22:1,n-9;C22:1,n-11;C22:1,trans;C24:1,n-9;Andre monoumætt.;C18:2,n-6;C18:2,conj-A, udifferentieret;C18:2,trans, udifferentieret;C18:3,n-3;C18:3,n-6;C18:4,n-3;C20:2,n-6;C20:4,n-3;C20:3,n-3;C20:3,n-6;C20:4,n-6;C20:5,n-3;C22:5,n-3;C22:6,n-3;Andre polyumættede;Andre fedtsyrer;Sum mættede;Sum monoumættede;Sum polyumættede;Fedtsyrer, total;Sum n-3 fedtsyrer;Sum n-6 fedtsyrer;Transfedtsyrer, total;Cholesterol;Isoleucin;Leucin;Lysin;Methionin;Cystin;Phenylalanin;Tyrosin;Threonin;Tryptofan;Valin;Arginin;Histidin;Alanin;Asparaginsyre;Glutaminsyre;Glycin;Prolin;Serin
Skinkemignon (lårtunge), helt afpudset, rå;910;0;492;118;6,25;3,191;19,3;19,3;0;0;0;0;0;4,4;0,92;0;1,1;24,9;75,1;0;0;;0,513;0,078;0,087;0,1;0,1;;;;0;0,81;;;0,21;6,92;3,3;0,31;0,6;2,6;1,5;;0,65;0;0;;;66;280;6;18;175;0,66;0,1;3,6;1;0,014;5,3;6,9;0;;2,5;0,13;2;1,9;5,6;;;;;;;;;;;0,075;0,075;;;;;;;0;;0;0;0;0;0;0;;;0;;;;;;0;0;0;0;0;0;;;;;;;;0,067;0;1,13;0;0,574;;;;;;;0,141;;0;1,819;;;;0,029;;;;;;;0,302;;;0,025;;;;;0;;0;0;0;;;;1,771;1,989;0,327;4,087;0,025;0,302;0;58;989;1500;1787;511;134;734;670;862;217;1085;1181;766;1149;1787;2649;925;734;260
Skinkepølse, pålæg;911;0;924;221;6,25;2,416;15,1;15,1;2,7;2,7;2,7;;0;16,8;0,915;0;2,7;37,3;62,7;0;0;0;;;;;;;;;0;;;;;;;;;;;;;0;0;;;821;278;;;;1;0,106;1,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57;;;;;;;;;;;;;;;;;;120
Skorzonerrod, rå;912;37;350;84;6,25;0,528;3,3;3,3;18,6;15,3;15,3;0;3,3;0,2;0,8;0;0,9;23;77;1,67;0;20;0;0;;0,8;0,8;;;;;0,15;;;0,05;0,3;0,3;0,07;;;;;0;3;3;;;4,5;387;24,1;32,1;94;0,7;0,12;;0,2;;;;;;4,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;
Skrubbe, filet, paneret, rå, dybfrost;913;;654;156;6,25;1,781;11,1;11,1;22,3;22,3;22,3;;0;2,3;0,8;0;1,5;37,3;62,7;0;0;;0,56;0,56;0;0,72;0,72;;;;;0,086;;;0,073;1,15;1,15;0,063;0,36;7,7;;;1,25;;;;647;387;148;28,7;16,4;99,5;0,485;0,058;0,455;9,7;0,237;3,94;11;;;2,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skrubbe, rå;914;67;363;87;6,25;2,901;17,9;17,9;0;0;0;0;0;1,6;0,85;0;1,2;20,7;79,3;9;9;0;0,8;0,8;;1;1;;;;0;0,22;;;0,21;5,32;3;0,25;0,68;1,2;15;5;2,99;1;1;;;65;394;35;27;182;0,3;0,036;0,78;15,7;0,04;0,821;20,4;20;;2,91;6,04;143;0,109;0,28;;;;;;;;;;;;;;;;;;;0;;0;0;0;0;0;0;;;0;;;;;;0;0;0;0;0;0;;;0;0;0;0;0;0,032;;0,263;0;0,062;0;0;0;;0;;0,106;;;0,226;0;;;0,024;;0;0;;0,03;;0,011;;;0,006;;0;0;;0;0;;0,282;0,075;0,138;;0,084;0,357;0,386;0,512;1,339;0,501;0,011;0;46;899;1363;1654;522;131;696;667;783;139;986;1073;406;1131;1770;2350;1044;667;
Skummetmælk;915;0;150;36;6,38;0,549;3,5;3,4;4,7;4,7;4,8;0;0;0,3;0,945;0;0,7;9,2;90,8;3,08;3;1;0,007;0,007;;0,01;0,01;;;;0;0,04;;;0,17;0,873;0,09;0,05;0,36;2;4,8;4;0,48;1,3;1,3;;95;44,3;158;124;12,2;97;0,03;0,01;0,41;10,7;0,008;0,052;1,66;5;;0,803;0,03;0,3;0,002;0,089;;;;;0,184;;;;0,03;0,184;0,01;0;;;;;;0,03;0;;0;0;4,76;0;0;4,76;;;4,76;;;;;;0;0;0;0;0;0;;;0,01;0,007;0,004;0,009;0,012;0,033;;0,089;;0,03;;;;;0,004;;0,007;;;0,067;;;;0,003;;;;;;;0,006;;;0,002;;;;;;;;;;;;;0,194;0,081;0,008;0,283;0,002;0,006;0;3;203;335;313;88;27;176;148;148;47;242;121;99;115;285;697;71;340;113
Skummetmælk, 0.1 % fedt;916;0;148;35;6,38;0,559;3,6;3,5;5;5;5;;0;0,1;0,945;0;0,8;9,4;90,6;0,833;;;0,034;;;0,002;;;;;;0,041;;;0,161;0,093;0,093;0,05;0,397;1,52;;;0,411;;;;0,097;36,1;157;119;11,1;94,1;0,019;0,011;0,393;11,7;0,001;0,176;1,51;;;0,708;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;4,62;;0;4,62;;;4,62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;
Skummetmælk, 0.5 % fedt;917;0;158;38;6,38;0,549;3,5;3,4;4,7;4,7;4,8;0;0;0,5;0,945;0;0,7;9,4;90,6;4,39;4,21;2,21;0,076;0,076;;0,013;0,013;;;;0;0,041;;;0,171;0,874;0,091;0,049;0,357;1,91;5,84;3,38;0,482;1,3;1,3;;95,1;44,2;157;124;12,1;96,8;0,03;0,01;0,41;23,3;0,009;0,052;1,64;5;;0,782;0,03;0,3;0,002;0,089;;;;;0,186;;;;0,048;0,186;0,01;0;;;;;;0,03;0;;0;0;4,75;0;0;4,75;;;4,75;;;;;;0;;;;;;;;0,024;0,022;0,019;0,024;0,026;0,044;;0,136;;0,056;0;0;0;;0,003;;0,006;;;0,103;0;;;0,003;;0;0;;0;;0,005;;;0,002;;0;0;;0;0;;0;0;0;;0;0,351;0,115;0,007;0,473;0,002;0,005;0;3;200;340;310;88;27;180;150;150;47;240;120;99;120;290;700;71;340;462
Skummetmælk, økologisk;918;0;150;36;6,38;0,549;3,5;3,4;4,7;4,7;4,8;0;0;0,3;0,945;0;0,7;9,2;90,8;3,08;3;1;0,007;0,007;;0,01;0,01;;;;0;0,04;;;0,17;0,873;0,09;0,05;0,36;2;4,8;4;0,48;1,3;1,3;;95;44,3;158;124;12,2;97;0,03;0,01;0,41;9,24;0,008;0,052;1,4;5;;0,803;0,03;0,3;0,002;0,089;;;;;0,184;;;;0,03;0,184;0,01;0;;;;;;0,03;0;;0;0;4,76;0;0;4,76;;;4,76;;;;;;0;;;;;;;;0,01;0,007;0,004;0,009;0,012;0,033;;0,089;;0,03;;;;;0,004;;0,007;;;0,067;;;;0,003;;;;;;;0,006;;;0,002;;;;;;;;;;;;;0,194;0,081;0,008;0,283;0,002;0,006;0;3;203;335;313;88;27;176;148;148;47;242;121;99;115;285;697;71;340;1142
Skummetmælksost, max. 5+;919;0;783;187;6,38;6,755;43,1;42,2;1;1;1,9;0;0;0,9;0,945;0;3,2;48,2;51,8;8,33;8;4;0,05;0,05;;0,02;0,02;;;;0;;;;;9,9;;;;;;;;;;;680;440;;1280;;780;;;;;;0,25;14;;;;;;0,01;0,45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,1;;;;;;0;;;;;;;;0,031;0,02;0,013;0,028;0,035;0,1;;0,265;;0,091;;;;;0,013;;0,02;;;0,199;;;;0,01;;;;;;;0,019;;;0,007;;;;;;;;;;;;;0,583;0,242;0,026;0,851;0,007;0,019;0;5;2364;3985;3445;1216;155;2229;2364;1486;594;2905;1351;1216;1351;3040;8444;878;4526;
Skummetmælkspulver;920;0;1510;361;6,38;5,045;32,2;31,5;53,7;53,7;54,4;0;0;1,4;0,945;0;7,8;95,1;5;79,6;79;7;0,02;0,02;;0,2;0,2;;;;0;0,44;;;1,63;8,13;0,9;0,44;3,44;16;21;14;3,15;6;6;;1005;386;1610;1132;113;921;0,175;0,04;3,75;146;0,02;0,665;21,5;40;;2,62;;;;;;;;;;;;;;;0;0;;;;;;;0;0;0;0;49,5;;0;49,5;;;49,5;;;;;;0;;;;;;;;0,046;0,029;0,019;0,042;0,052;0,149;;0,399;;0,137;;;;;0,019;;0,029;;;0,3;;;;;;;;;;;0,028;;;0,025;;;;;;;;;;;;;0,873;0,348;0,053;1,274;0,025;0,028;0;43;1867;3077;2876;807;247;1614;1362;1362;434;2220;1110;908;1059;2623;6407;656;3128;203
Skyr, 0.2 % fedt;921;0;297;71;6,38;1,724;11;10,8;6;6;4;0;0;0,2;0,945;0;0,8;18;82;11,8;11;10;;;;0;0;;;;;0,01;;;0,28;0,2;0,2;0,05;;;1;;0,7;0;0;;;45;140;120;12;150;0;0,25;0,6;10,7;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;3198
Skærekage, chokoladekage/-pie;922;0;1808;432;5,7;0,93;5,3;5,8;50,6;49,3;48,8;;1,3;23,5;0,93;0;1,2;80,6;19,4;;;;;;;;;;;;;;;;;1,07;;;;;;;;;;;;288;169;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,118;0,386;1,275;1,216;;3,798;;2,049;0,386;0,297;;;;;0,771;;;5,328;;;;1,098;;1,098;;;;;3,503;;;0,415;;;;;0,118;;;;;;;;9,525;8,295;4,036;21,856;0,415;3,503;0;;279;437;251;121;102;298;140;195;64;316;260;130;233;381;1367;195;446;28
Skærekage, citronkage;923;0;1796;429;5,7;0,807;4,6;5;55,4;54,1;53,6;;1,3;21,3;0,93;0;0,8;82,1;17,9;;;;;;;;;;;;;;;;;0,933;;;;;;;;;;;;217;170;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,107;0,35;1,155;1,102;;3,442;;1,857;0,35;0,269;;;;;0,699;;;4,83;;;;0,995;;0,995;;;;;3,175;;;0,376;;;;;0,107;;;;;;;;8,632;7,519;3,658;19,809;0,376;3,175;0;;242;379;218;105;89;258;121;169;56;274;226;113;202;331;1186;169;387;607
Skærekage, formkage, uspec.;924;0;1775;424;5,7;0,798;4,5;5;56,7;55,4;54,9;;1,3;20,2;0,93;0;1,3;82,7;17,3;128;126;20;;;;0,5;0,5;;;;0;0,046;0,046;;0,066;1,33;0,41;0,047;0;4;7,3;;0;0;0;;328;384;132;46;14;117;1,27;0,084;0,428;8,5;0,2;7,8;3,8;;;13;;;1;;;;;;;;;;;;;;;;;;;;0,18;;0,602;0,782;0,732;0,63;33,8;35,2;;;35,9;;;;;;17,2;;;;;;;;0;0;0,056;0,042;0,508;0,253;0;3,822;0;0,993;0,031;0;0;;0;;0;0;0;7,803;0,361;0,237;;0,118;0;0,032;0;0;0;;3,649;0;0,041;0,8;0;0;0;0;;;0;0;0;0;;0;5,705;8,551;4,49;18,746;0,8;3,649;0,237;;239;375;215;104;88;255;120;168;55;271;223;112;200;327;1173;168;383;451
Skærekage, mazarinkage;925;0;2055;491;5,7;0,912;5,2;5,7;48,5;47,2;46,7;;1,3;31,2;0,93;0;0,9;85,8;14,2;;;;;;;;;;;;;;;;;1,05;;;;;;;;;;;;180;125;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,156;0,512;1,692;1,614;;5,042;;2,72;0,512;0,395;;;;;1,024;;;7,074;;;;1,458;;1,458;;;;;4,651;;;0,551;;;;;0,156;;;;;;;;12,643;11,014;5,358;29,015;0,551;4,651;0;;274;429;246;119;100;292;137;192;63;310;255;128;228;374;1341;192;438;466
Skærekage, sandkage;926;0;1865;446;6,25;0,976;6,1;6,1;49,7;48,7;48,7;;1;25;0,945;0;1,1;81,9;18,1;;;;0,5;0,5;;2,4;2,4;;;;;0,045;;;0,05;1,52;0,4;0,04;;;;;;;;;;239;98;85;11,3;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,127;0,417;1,378;1,314;;4,105;;2,215;0,417;0,321;;;;;0,834;;;5,76;;;;1,187;;1,187;;;;;3,787;;;0,449;;;;;0,127;;;;;;;;10,294;8,968;4,363;23,625;0,449;3,787;0;;293;459;264;127;107;312;146;205;67;332;273;137;244;400;1435;205;468;28
Smelteost, 20+;927;0;945;226;6,38;4,451;28,4;27,8;0,5;0,2;0,8;0;0;12,4;0,945;0;4,6;45,6;54,4;110;105;54,6;0,187;0,187;;0,316;0,316;;;;0;0,091;;;0,436;6,63;0,101;0,025;0,405;1,52;7,09;3,04;1,01;0;0;;885;573;122;658;26,3;912;0,344;0,355;2,63;14;0,042;0,253;8,91;6,08;;3,04;;;0,01;0,456;;;;;;;;;;;3,24;3,04;;;;;;0;;;;;0,091;;;0,091;;;0,091;;;;;;0;;;;;;;;0,421;0,27;0,176;0,387;0,48;1,371;;3,668;;1,254;;;;;0,176;;0,27;;;2,754;;;;0,14;;;;;;;0,257;;;0,094;;;;;;;;;;;;;8,027;3,34;0,351;11,718;0,094;0,257;0;55;1558;2626;2270;801;102;1469;1558;979;392;1914;890;801;890;2003;5564;579;2982;207
Smelteost, 30+;928;0;1068;255;6,38;4,138;26,4;25,9;0,6;0,5;1;0;0;16,5;0,945;0;2,9;46,3;53,7;146;140;73;0,18;0,18;;0,42;0,42;;;;0;0,09;;;0,43;6,17;0,1;0,025;0,4;1,5;7;3;1;0;0;;874;566;120;650;26;900;0,34;0,35;2,6;13,8;0,041;0,25;8,8;6;;3;;;0,01;0,45;;;;;;;;;;;3,2;3;;;;;;0;;;;;0,09;;;0,09;;;0,09;;;;;;0;;;;;;;;0,561;0,361;0,23;0,511;0,641;1,823;;4,887;;1,672;;;;;0,23;;0,361;;;3,665;;;;0,19;;;;;;;0,34;;;0,12;;;;;;;;;;;;;10,686;4,446;0,46;15,592;0,12;0,34;0;54;1448;2441;2110;745;95;1366;1448;910;364;1779;828;745;828;1862;5173;538;2772;340
Smelteost, 45+;929;0;1303;311;6,38;3,793;23,3;22,8;0;0;0;0;0;24,5;0,945;0;4,1;51,9;48,1;217;208;108;0,25;0,25;;0,62;0,62;;;;0;0,09;;;0,43;5,67;0,1;0,025;0,4;1,5;7;3;1;0;0;;;519;120;630;26;800;0,34;0,35;2,6;10,4;0,041;0,25;8;6;;3;0,1;1;0,01;0,45;;;;;;;;;;;3,2;3;;;;;;0;;;;;0,09;;;0,09;;;0,09;;;;;;0;;;;;;;;0,83;0,53;0,35;0,76;0,95;2,709;;7,248;;2,479;;;;;0,35;;0,53;;;5,438;;;;0,28;;;;;;;0,51;;;0,19;;;;;;;;;;;;;15,856;6,598;0,7;23,154;0,19;0,51;0;81;1328;2238;1934;683;87;1252;1328;834;334;1631;759;683;759;1707;4741;493;2541;1880
Smør, saltet;930;0;3047;728;6,38;0,102;0,7;0,6;1,2;1,2;1,2;0;0;81,5;0,945;0;1,1;84,4;15,6;749;719;362;1,03;0,196;0,096;1,78;1,78;;;;0;0,007;;;0,035;0,25;0,1;0;0,11;0;3;0;0,17;0;0;;622;372;29,1;16,8;1,6;21,7;0,012;0,022;0,044;2,74;0;0,344;1,56;0;;0,553;0,2;;0,5;4;;;;;;;;;0,03;;;;;;;;;;0;0;0;0;0,575;0;0;0,575;;0;0,575;;;;;;0;0;0;0;0;0;;;3,165;2,189;1,18;2,579;2,899;8,516;0,875;23,06;;9,072;;;;;0,693;;1,108;;;14,654;0,525;2,904;;;;;;;;;1,345;0,321;0,617;0,537;;;;;;;;;;;;0,788;53,535;19,884;2,82;77,027;0,537;1,345;2,904;220;38;62;58;16;5;33;28;28;9;45;22;18;21;53;130;13;63;739
Smør, usaltet;931;0;3054;730;6,38;0,078;0,2;0,2;0;0;0;0;0;82,5;0,945;0;0,7;83,3;16,7;708;678;365;0,73;0,73;;1,9;1,9;;;;0;0,007;;;0,035;0,217;0,1;0,004;0,11;0;3;0;0;0;0;;16;14;19,6;15;1,6;24;0,04;0,003;0,15;1,5;0,011;6;0,5;0;;0,553;0,2;;0,5;4;;;;;;;;;0,03;;;;;;;;;;0;;0;0;0,57;0;0;0,57;;0;0,57;;;;;;0;0;0;0;0;0;;;2,801;1,788;1,172;2,572;3,198;9,117;;24,432;;8,333;;;;;1,172;;1,788;;;18,274;;;;;;;;;;;1,718;;;1,559;;;;;;;;;;;;;53,413;21,234;3,277;77,924;1,559;1,718;0;220;29;48;44;12;4;25;21;21;7;34;17;14;16;41;99;10;48;600
Smørbart blandingsprodukt, 75% fedt;932;0;2820;674;6,38;0,087;0,6;0,5;1,1;1,1;1,1;;0;75,5;0,945;0;1,1;78,3;21,7;530;530;;;;;7,63;7,63;;;;;;;;;;;;;;;;;;;;0,64;381;24,5;16;1,5;16,5;0,014;0,015;0,042;2,03;0,027;0,105;1;;;0,168;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0,85;;0;0,85;;;0,85;;;;;;;;;;;;;;1,788;1,21;0,675;1,425;2,015;5,025;0,505;16,225;;5,4;;;;;0,428;;0,752;;;22;1,14;1,398;;;;;;;;;4,95;0,188;0,383;1,965;;;;;;;;;;;;0,47;34,268;25,718;7,486;67,942;1,965;4,95;1,398;;;;;;;;;;;;;;;;;;;1602
Smørbart blandingsprodukt, 80% fedt;933;0;3007;719;6,38;0,07;0,4;0,4;0,6;0,6;0,6;0;0;80,8;0,95;0;1,1;82,9;17,1;579;557;267;0,532;0,532;;7,2;7,2;7,6;;0;0;0,005;;;0,026;0,174;0,074;0;0,081;0;2,07;0;0,092;0;0;;592;358;37;13;1,3;15;0,019;0,025;0,022;1,9;0;0,61;1,9;0;;1,13;0,148;0,01;0,377;2,96;;;;;;;;;0,022;;;;;;;;;;0;0;0;0;0,5;0;0;0,5;;0;0,5;;;;;;0;;;;;;;;2,413;1,734;0,926;1,982;2,219;6,463;0,689;18,527;;7,325;;;;;0,528;;0,797;;;21,327;1,077;2,111;;;;;;;;;4,739;0,226;0,474;1,853;;;;;;;;;;;;1,368;42,278;25,84;7,292;76,778;1,853;4,739;2,111;163;26;43;39;11;4;22;19;19;6;30;15;13;14;36;91;9;43;1602
Smørbart blandingsprodukt, let, 57% fedt;934;0;2227;532;6,38;0,07;0,4;0,4;0,6;0,6;0,6;;0;59,7;0,945;0;1,1;61,9;38,1;380;380;;;;;7,2;7,2;;;;;;;;;;;;;;;;;;;;0,65;390;15;13;1,1;11;0,001;0,02;0,025;1,5;0,001;0;2,1;;;0,38;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0,4;;0;0,4;;;0,4;;;;;;;;;;;;;;1,36;0,9;0,47;1,02;1,15;3,5;0,36;10,9;;4;;;;;0,31;;0,53;;;18,8;1,02;1,2;;;;;;;;;4,7;0,13;0,24;1,76;;;;;;;;;;;;0,74;23,66;21,86;6,83;53,09;1,76;4,7;1,2;;;;;;;;;;;;;;;;;;;
Småkage, brunkage, industrifremstillet;935;0;1968;470;5,7;0,92;5,2;5,8;73,1;70,7;70,2;;2,4;17,8;0,912;0;1,3;97,5;2,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;275;248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,45;;1,79;3,25;0,023;0,203;24,9;25,1;;;28,4;;;;;;37,6;;;;;;;;0;0;0,054;0,034;0,602;0,306;0;4,925;0;1,036;0,034;0,03;0;;0;;0;0;0;5,663;0,202;0,042;;0,009;0;0;0;0;0;;3,055;0;0,055;0,158;0;0;0;0;;;0;0;0;0;;0;7,021;5,916;3,268;16,205;0,158;3,055;0,042;;;;;;;;;;;;;;;;;;;207
Småkage, cookie (amerikansk type), industrifremstillet;936;0;2139;511;5,7;0,951;5,4;5,9;64,2;61,3;60,7;;2,9;26,5;0,907;0;1,4;97,6;2,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;206;281;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,061;;0,201;0,262;0,652;0,231;34,7;35,6;;;35,9;;;;;;22,6;;;;;;;;0,043;0,016;0,106;0,108;0,828;0,577;0;7,33;0;3,326;0,128;0;0;;0;;0,096;0,002;0;8,45;0,215;0,325;;0,013;0;0;0;0;0;;2,152;0;0,081;0,201;0;0;0;0;;;0;0;0;0;;0,071;12,462;9,101;2,434;24,068;0,201;2,152;0,327;;;;;;;;;;;;;;;;;;;280
Småkage, finsk brød;937;0;2242;536;5,7;0,982;5,6;6,1;59,4;57,4;56,9;;2;31,2;0,93;0;0,8;97;3;;;;;;;;;;;;;;;;;0,6;;;;;;;;;;;;211;94;;;;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,156;0,512;1,692;1,614;;5,042;;2,72;0,512;0,395;;;;;1,024;;;7,074;;;;1,458;;1,458;;;;;4,651;;;0,551;;;;;0,156;;;;;;;;12,643;11,014;5,358;29,015;0,551;4,651;0;;255;432;90;96;96;275;108;167;36;275;187;128;167;246;1944;206;638;1379
Småkage, havreflager, industrifremstillet;938;0;2165;517;5,7;0,798;4,5;5;65,5;62,9;62,4;;2,6;27;0,922;0;1,2;98,2;1,9;;;;;;;;;;;;;0,078;0,078;;0,052;0,43;0,43;0,06;0;5,3;11,2;;;;;;243;214;202;23,2;39,1;137;2,73;0,212;0,748;3,5;0,9;11,6;2,7;;;47;;;1,1;;;;;;;;;;;;;;;;;;;;0,063;;0,128;0,191;0,632;0,001;41,5;42,1;;;42,3;;;;;;18,9;;;;;;;;0;0;0,312;0,264;3,273;1,304;0;7,091;0;2,248;0,02;0;0;;0;;0;0;0;7,336;0,22;0,055;;0;0;0;0;0;0;;2,358;0;0,049;0,344;0;0;0;0;;;0;0;0;0;;0;14,512;7,611;2,751;24,874;0,344;2,358;0,055;;;;;;;;;;;;;;;;;;;
Småkage, hvede, traditionelle danske, industrifremstillet;939;0;2174;520;5,7;0,858;4,9;5,4;65,1;63,1;62,6;;2;27,1;0,888;0;0,9;97,9;2,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;374;219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,111;;0,189;0,3;0,12;0,123;26,8;27;;;27,3;;;;;;34,4;;;;;;;;0,101;0,068;0,292;0,269;1,723;1,003;0,024;7,09;0;1,713;0,037;0;0;;0,019;;0,044;0,001;0;8,32;0,255;0,159;;0,06;0;0;0;0;0;;2,346;0;0,077;0,442;0;0;0;0;;;0;0;0;0;;0,026;12,32;8,858;2,865;24,069;0,442;2,346;0,16;;;;;;;;;;;;;;;;;;;130
Småkage, klejne, industrifremstillet;940;0;2364;565;5,7;0,943;5,4;5,9;52,5;51;50,5;;1,5;37,7;0,875;0;0,5;96,1;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;173;96,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,051;;0,125;0,176;0,123;0,092;15,3;15,5;;;15,7;;;;;;33,6;;;;;;;;0,035;0;0,045;0,036;0,299;0,444;0;7,632;0;1,282;0,149;0,45;0,273;;0;;0;0;0;14,117;0,438;0,059;;0,288;0;0;0;0;0;;7,152;0;0,04;0,21;0;0;0;0;;;0;0;0;0;;0;10,645;14,902;7,402;32,949;0,21;7,152;0,059;;;;;;;;;;;;;;;;;;;1159
Småkage, kokoskager, industrifremstillet;941;0;1915;458;5,7;0,713;4,1;4,5;60,5;55;54,6;;5,6;23,4;0,913;0;1,1;89,1;10,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;148;54,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,672;;7,67;8,35;1,54;3,16;33,2;37,8;;;46,2;;;;;;2,4;;;;;;;;0;0,171;1,67;1,218;9,663;3,588;0;2,084;0;1,344;0;0;0;;0;;0;0;0;1,446;0;0;;0;0;0;0;0;0;;0,224;0;0;0;0;0;0;0;;;0;0;0;0;;0;19,738;1,446;0,224;21,408;0;0,224;0;;;;;;;;;;;;;;;;;;;1695
